PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.1529199267880105,0.1585,0.8265,0.985,0.5265,0.1585,0.8265,0.0005,1.6090683480459583e-05,-2.4101879919781032e-06,0.00010148587388429165,0.9999999642832121,Ischaemia,IR
0.15143605868072568,0.148,0.822,0.97,0.529,0.148,0.822,0.0,1.6638594349535976e-05,-2.3401411961405352e-06,0.0004418989133909122,0.9999999639345212,Ischaemia,IR
0.15117623403745234,0.16,0.819,0.979,0.5325,0.16,0.819,0.077,1.5726813213142528e-05,-2.7574645599037708e-06,0.012056663116957585,0.9999999638733744,Ischaemia,IR
0.15239183176607426,0.1545,0.827,0.9815,0.533,0.1545,0.827,0.0,1.5912371704980685e-05,-2.63271594697198e-06,6.177909502805223e-06,0.9999999641629687,Ischaemia,IR
0.15018868492559884,0.148,0.8245,0.9725,0.551,0.148,0.8245,0.0665,1.6483879418690726e-05,-3.077253283055429e-06,0.011290068676934769,0.9999999636388774,Ischaemia,IR
0.1470507052782354,0.15,0.827,0.977,0.578,0.15,0.827,0.0705,1.5929950487813703e-05,-2.3621943837147472e-06,0.06991121933250244,0.999999962863865,Ischaemia,IR
0.13691456583554662,0.1405,0.84,0.9805,0.866,0.1405,0.84,0.0,1.5551406063722944e-05,-3.154225937226072e-06,0.456052627593171,0.9999999601159377,Ischaemia,IR
0.10582910888945432,0.25,0.632,0.882,0.5565,0.25,0.632,0.064,1.3806662621475372e-05,-4.526971538989372e-06,0.883130873908253,0.999999963486668,Congestion,Red
0.1108758788578265,0.2435,0.7625,1.006,0.542,0.2435,0.7625,0.019,1.4440732259243588e-05,-4.462691873112186e-06,0.4315947889289813,0.9999999651478924,Congestion,Red
0.11815632457648885,0.177,0.809,0.986,0.5755,0.177,0.809,0.1,1.4727674005838198e-05,-6.596944116232014e-06,0.0002200423069567299,0.9999999672998441,Congestion,Red
0.10684272420292858,0.2395,0.7275,0.967,0.6065,0.2395,0.7275,0.0625,1.6353673993547047e-05,-4.312975490491249e-06,0.16291823419917312,0.9999999638421924,Congestion,Red
0.11282804248044873,0.153,0.8025,0.9555,0.5315,0.153,0.8025,0.0775,1.583737182500654e-05,-7.005139117645821e-06,0.05411673633292898,0.999999965759083,Congestion,Red
0.11655711191406115,0.1505,0.781,0.9315,0.5315,0.1505,0.781,0.0765,1.714520456056086e-05,-6.129328883037891e-06,0.4298149488435296,0.9999999668568115,Congestion,Red
0.11399759329125997,0.1805,0.744,0.9245,0.5685,0.1805,0.744,0.094,1.4544844814881586e-05,-4.545620061487159e-06,0.8795896984877011,0.9999999661148884,Congestion,Red
0.11443204580479356,0.3255,0.693,1.0185,0.509,0.3255,0.693,0.0005,1.4828427447653161e-05,-5.990270047283053e-06,0.0030763125744503526,0.9999999662454276,Congestion,Red
0.10714060972765137,0.151,0.8095,0.9605,0.5345,0.151,0.8095,0.074,1.6206763467515933e-05,-5.114858125533487e-06,0.058814221998391564,0.9999999639552282,Congestion,Red
0.09785663326244894,0.176,0.7975,0.9735,0.6015,0.176,0.7975,0.0945,1.180710326510704e-05,-4.266081756271569e-06,0.0031822281457099294,0.9999999605378106,Congestion,Red
0.10238404006284157,0.141,0.7455,0.8865,0.592,0.141,0.7455,0.073,1.667911222579942e-05,-4.682638261881383e-06,0.01935319095323656,0.9999999622868286,Congestion,Red
0.11379453008520156,0.2185,0.8035,1.022,0.6145,0.2185,0.8035,0.03,1.4019221827665925e-05,-6.855051341319706e-06,0.8385942171914417,0.999999966074505,Congestion,Red
0.11829288893685554,0.2045,0.717,0.9215,0.645,0.2045,0.717,0.083,1.525377386091915e-05,-5.7176715519661895e-06,0.010762943200484753,0.9999999673679836,Congestion,Red
